TrackSource,TrackTarget,Distance,source_x,source_y,target_x,target_y
1,2,14.897237563004335,153.2052069,291.1988717,167.8549652,288.494751
1,3,168.43151305603385,153.2052069,291.1988717,321.2856026,280.3289512
1,4,174.37986701858225,153.2052069,291.1988717,327.1447449,303.5833435
1,5,246.59652098841,153.2052069,291.1988717,399.4611816,304.1541443
1,6,285.84314385580774,153.2052069,291.1988717,439.044139,289.6471677
1,7,293.6091236651082,153.2052069,291.1988717,428.7984584,392.4642519
1,8,387.1164766762286,153.2052069,291.1988717,537.5693846,337.278644
1,9,472.66889513756627,153.2052069,291.1988717,623.2784441,340.6663974
1,10,521.1399262884813,153.2052069,291.1988717,665.8279526,385.0324657
1,11,670.2118722563114,153.2052069,291.1988717,822.8055919,262.5758369
1,12,698.798538729743,153.2052069,291.1988717,851.7625308,309.5581461
1,13,722.8103299310167,153.2052069,291.1988717,874.3497144,340.2434673
2,1,14.897237563004335,167.8549652,288.494751,153.2052069,291.1988717
2,3,153.6477815633664,167.8549652,288.494751,321.2856026,280.3289512
2,4,160.00281103938636,167.8549652,288.494751,327.1447449,303.5833435
2,5,232.13499536616123,167.8549652,288.494751,399.4611816,304.1541443
2,6,271.1916223827296,167.8549652,288.494751,439.044139,289.6471677
2,7,280.8935096452276,167.8549652,288.494751,428.7984584,392.4642519
2,8,372.9190530510804,167.8549652,288.494751,537.5693846,337.278644
2,9,458.4020351410597,167.8549652,288.494751,623.2784441,340.6663974
2,10,507.2441488470607,167.8549652,288.494751,665.8279526,385.0324657
2,11,655.4632815977153,167.8549652,288.494751,822.8055919,262.5758369
2,12,684.2318502511097,167.8549652,288.494751,851.7625308,309.5581461
2,13,708.3874365669318,167.8549652,288.494751,874.3497144,340.2434673
3,1,168.43151305603385,321.2856026,280.3289512,153.2052069,291.1988717
3,2,153.6477815633664,321.2856026,280.3289512,167.8549652,288.494751
3,4,23.981165729254045,321.2856026,280.3289512,327.1447449,303.5833435
3,5,81.72552219617519,321.2856026,280.3289512,399.4611816,304.1541443
3,6,118.12663566618238,321.2856026,280.3289512,439.044139,289.6471677
3,7,155.34909019801506,321.2856026,280.3289512,428.7984584,392.4642519
3,8,223.6558558728966,321.2856026,280.3289512,537.5693846,337.278644
3,9,307.96149715700176,321.2856026,280.3289512,623.2784441,340.6663974
3,10,360.1003428104092,321.2856026,280.3289512,665.8279526,385.0324657
3,11,501.8341087798048,321.2856026,280.3289512,822.8055919,262.5758369
3,12,531.2815799432633,321.2856026,280.3289512,851.7625308,309.5581461
3,13,556.299973935484,321.2856026,280.3289512,874.3497144,340.2434673
4,1,174.37986701858225,327.1447449,303.5833435,153.2052069,291.1988717
4,2,160.00281103938636,327.1447449,303.5833435,167.8549652,288.494751
4,3,23.981165729254045,327.1447449,303.5833435,321.2856026,280.3289512
4,5,72.31868935854955,327.1447449,303.5833435,399.4611816,304.1541443
4,6,112.7638745160684,327.1447449,303.5833435,439.044139,289.6471677
4,7,135.03071260401939,327.1447449,303.5833435,428.7984584,392.4642519
4,8,213.105378319413,327.1447449,303.5833435,537.5693846,337.278644
4,9,298.44651227385185,327.1447449,303.5833435,623.2784441,340.6663974
4,10,348.33930970407556,327.1447449,303.5833435,665.8279526,385.0324657
4,11,497.35429107056717,327.1447449,303.5833435,822.8055919,262.5758369
4,12,524.6518079152374,327.1447449,303.5833435,851.7625308,309.5581461
4,13,548.431621373647,327.1447449,303.5833435,874.3497144,340.2434673
5,1,246.59652098841,399.4611816,304.1541443,153.2052069,291.1988717
5,2,232.13499536616123,399.4611816,304.1541443,167.8549652,288.494751
5,3,81.72552219617519,399.4611816,304.1541443,321.2856026,280.3289512
5,4,72.31868935854955,399.4611816,304.1541443,327.1447449,303.5833435
5,6,42.1575958351892,399.4611816,304.1541443,439.044139,289.6471677
5,7,93.05563343701125,399.4611816,304.1541443,428.7984584,392.4642519
5,8,142.02502672509704,399.4611816,304.1541443,537.5693846,337.278644
5,9,226.775906170458,399.4611816,304.1541443,623.2784441,340.6663974
5,10,278.37485440579604,399.4611816,304.1541443,665.8279526,385.0324657
5,11,425.38129410977115,399.4611816,304.1541443,822.8055919,262.5758369
5,12,452.3336309888916,399.4611816,304.1541443,851.7625308,309.5581461
5,13,476.2578690368644,399.4611816,304.1541443,874.3497144,340.2434673
6,1,285.84314385580774,439.044139,289.6471677,153.2052069,291.1988717
6,2,271.1916223827296,439.044139,289.6471677,167.8549652,288.494751
6,3,118.12663566618238,439.044139,289.6471677,321.2856026,280.3289512
6,4,112.7638745160684,439.044139,289.6471677,327.1447449,303.5833435
6,5,42.1575958351892,439.044139,289.6471677,399.4611816,304.1541443
6,7,103.32631211045474,439.044139,289.6471677,428.7984584,392.4642519
6,8,109.43482788882976,439.044139,289.6471677,537.5693846,337.278644
6,9,191.1680961218719,439.044139,289.6471677,623.2784441,340.6663974
6,10,246.02693589423973,439.044139,289.6471677,665.8279526,385.0324657
6,11,384.71510196923896,439.044139,289.6471677,822.8055919,262.5758369
6,12,413.1984002762155,439.044139,289.6471677,851.7625308,309.5581461
6,13,438.2361572343593,439.044139,289.6471677,874.3497144,340.2434673
7,1,293.6091236651082,428.7984584,392.4642519,153.2052069,291.1988717
7,2,280.8935096452276,428.7984584,392.4642519,167.8549652,288.494751
7,3,155.34909019801506,428.7984584,392.4642519,321.2856026,280.3289512
7,4,135.03071260401939,428.7984584,392.4642519,327.1447449,303.5833435
7,5,93.05563343701125,428.7984584,392.4642519,399.4611816,304.1541443
7,6,103.32631211045474,428.7984584,392.4642519,439.044139,289.6471677
